=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.19 10:49:25 =~=~=~=~=~=~=~=~=~=~=~=

Tiempo ,Entrada,ANGULO,POSICION

 -0.400,0,0,0
 -0.380,0,0,0
 12.080, 0.000,-0.297, 0.271
 12.100, 0.000,-0.349, 0.271
 12.120, 0.000,-0.398, 0.271
 12.140, 0.000,-0.443, 0.271
 12.160, 0.000,-0.478, 0.271
 12.180, 0.000,-0.510, 0.271
 12.200, 0.000,-0.532, 0.271
 12.220, 0.000,-0.548, 0.271
 12.240, 0.000,-0.555, 0.271
 12.260, 0.000,-0.557, 0.271
 12.280, 0.000,-0.548, 0.271
 12.300, 0.000,-0.532, 0.271
 12.320, 0.000,-0.508, 0.271
 12.340, 0.000,-0.478, 0.271
 12.360, 0.000,-0.442, 0.271
 12.380, 0.000,-0.396, 0.271
 12.400, 0.000,-0.347, 0.271
 12.420, 0.000,-0.293, 0.271
 12.440, 0.000,-0.236, 0.271
 12.460, 0.000,-0.173, 0.271
 12.480, 0.000,-0.110, 0.271
 12.500, 0.000,-0.044, 0.271
 12.520, 0.000, 0.023, 0.271
 12.540, 0.000, 0.089, 0.271
 12.560, 0.000, 0.154, 0.271
 12.580, 0.000, 0.216, 0.271
 12.600, 0.000, 0.276, 0.271
 12.620, 0.000, 0.332, 0.271
 12.640, 0.000, 0.384, 0.271
 12.660, 0.000, 0.428, 0.271
 12.680, 0.000, 0.469, 0.271
 12.700, 0.000, 0.501, 0.271
 12.720, 0.000, 0.527, 0.271
 12.740, 0.000, 0.546, 0.271
 12.760, 0.000, 0.557, 0.271
 12.780, 0.000, 0.560, 0.271
 12.800, 0.000, 0.557, 0.271
 12.820, 0.000, 0.545, 0.271
 12.840, 0.000, 0.524, 0.271
 12.860, 0.000, 0.496, 0.271
 12.880, 0.000, 0.463, 0.271
 12.900, 0.000, 0.421, 0.271
 12.920, 0.000, 0.374, 0.271
 12.940, 0.000, 0.323, 0.271
 12.960, 0.000, 0.265, 0.271
 12.980, 0.000, 0.204, 0.271
 13.000, 0.000, 0.141, 0.271
 13.020, 0.000, 0.077, 0.271
 13.040, 0.000, 0.010, 0.271
 13.060, 0.000,-0.056, 0.271
