Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
3.705,0.019,0.03,0.0
3.71,0.018,0.03,0.0
3.715,0.019,0.032,0.0
3.72,0.018,0.027,0.0
3.725,0.019,0.027,0.0
3.73,0.018,0.03,0.0
3.735,0.019,0.03,0.0
3.74,0.019,0.027,0.0
3.745,0.019,0.03,0.0
3.75,0.019,0.032,0.0
3.755,0.019,0.03,0.0
3.76,0.019,0.03,0.0
3.765,0.019,0.03,0.0
3.77,0.018,0.032,0.0
3.775,0.018,0.032,0.0
3.78,0.019,0.03,0.0
3.785,0.019,0.03,0.0
3.79,0.018,0.03,0.0
3.795,0.019,0.027,0.0
3.8,0.019,0.027,0.0
3.805,0.019,0.03,0.0
3.81,0.019,0.03,0.0
3.815,0.019,0.027,0.0
3.82,0.019,0.027,0.0
3.825,0.019,0.032,0.0
3.83,0.019,0.03,0.0
3.835,0.018,0.027,0.0
3.84,0.019,0.027,0.0
3.845,0.018,0.027,0.0
3.85,0.019,0.027,0.0
3.855,0.019,0.025,0.0
3.86,0.019,0.03,0.0
3.865,0.019,0.03,0.0
3.87,0.019,0.03,0.0
3.875,0.018,0.027,0.0
3.88,0.019,0.027,0.0
3.885,0.018,0.027,0.0
3.89,0.018,0.027,0.0
3.895,0.019,0.022,0.0
3.9,0.019,0.027,0.0
3.905,0.018,0.027,0.0
3.91,0.02,0.025,0.0
3.915,0.019,0.022,0.0
3.92,0.019,0.03,0.0
3.925,0.019,0.027,0.0
3.93,0.019,0.027,0.0
3.935,0.018,0.022,0.0
3.94,0.019,0.027,0.0
3.945,0.018,0.027,0.0
3.95,0.019,0.025,0.0
3.955,0.019,0.022,0.0
3.96,0.019,0.027,0.0
3.965,0.019,0.025,0.0
3.97,0.019,0.025,0.0
3.975,0.018,0.027,0.0
3.98,0.019,0.027,0.0
3.985,0.019,0.025,0.0
3.99,0.018,0.025,0.0
3.995,0.019,0.025,0.0
4.0,0.019,0.025,0.0
4.005,0.019,0.025,0.0
4.01,0.461,0.027,3.0
4.015,0.581,0.438,3.0
4.02,0.557,0.805,3.0
4.025,0.516,1.105,3.0
4.03,0.499,1.328,3.0
4.035,0.468,1.558,3.0
4.04,0.467,1.723,3.0
4.045,0.453,1.84,3.0
4.05,0.427,2.017,3.0
4.055,0.421,2.092,3.0
4.06,0.4,2.217,3.0
4.065,0.383,2.355,3.0
4.07,0.396,2.418,3.0
4.075,0.356,2.52,3.0
4.08,0.359,2.535,3.0
4.085,0.341,2.69,3.0
4.09,0.338,2.722,3.0
4.095,0.323,2.832,3.0
4.1,0.331,2.838,3.0
4.105,0.303,2.97,3.0
4.11,0.331,3.005,3.0
4.115,0.301,3.095,3.0
4.12,0.306,3.103,3.0
4.125,0.312,3.165,3.0
4.13,0.289,3.255,3.0
4.135,0.287,3.277,3.0
4.14,0.262,3.352,3.0
4.145,0.287,3.34,3.0
4.15,0.282,3.418,3.0
4.155,0.259,3.498,3.0
4.16,0.283,3.45,3.0
4.165,0.251,3.585,3.0
4.17,0.255,3.572,3.0
4.175,0.262,3.59,3.0
